ticker,company,sector,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue,sentiment_score,sentiment_pos,sentiment_neg,sentiment_neu,gdp_level_q4,gdp_yoy,cpi_yoy_annual
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,2023,23299000000.0,5001000000.0,,-1014000000.0,12154000000.0,0.2146444053392849,0.0435211811665736,,,,,602387.8,1.31703033500723,3.8944715
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,2024,25526000000.0,7115000000.0,,-1089000000.0,11088000000.0,0.2787354070359633,0.0426623834521664,,,,,621065.3,3.100577402131988,2.3854825
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,2025,29014000000.0,8429000000.0,,-1109000000.0,13838000000.0,0.2905149238298752,0.0382229268628937,,,,,,,
CNR.TO,Canadian National Railway Company,Industrials,2022,17107000000.0,5118000000.0,7396000000.0,-2750000000.0,6667000000.0,0.2991757759981294,0.1607529081662477,,,,,594557.3,3.0775165306879737,6.798089916666667
CNR.TO,Canadian National Railway Company,Industrials,2023,16828000000.0,5625000000.0,7151000000.0,-3187000000.0,6965000000.0,0.3342643213691466,0.189386736391728,,,,,602387.8,1.31703033500723,3.8944715
CNR.TO,Canadian National Railway Company,Industrials,2024,17046000000.0,4448000000.0,6967000000.0,-3549000000.0,6699000000.0,0.2609409832218702,0.2082013375571981,,,,,621065.3,3.100577402131988,2.3854825
CNR.TO,Canadian National Railway Company,Industrials,2025,17304000000.0,4720000000.0,7332000000.0,-3658000000.0,7049000000.0,0.2727693018955155,0.2113962089690245,,,,,,,
CNQ.TO,Canadian Natural Resources Limited,Energy,2022,49530000000.0,10937000000.0,16260000000.0,-5136000000.0,19391000000.0,0.2208156672723601,0.103694730466384,-0.0212,0.0604,0.0815,0.8581,594557.3,3.0775165306879737,6.798089916666667
CNQ.TO,Canadian Natural Resources Limited,Energy,2023,40835000000.0,8233000000.0,11773000000.0,-4909000000.0,12353000000.0,0.2016162605607934,0.1202155014081057,,,,,602387.8,1.31703033500723,3.8944715
CNQ.TO,Canadian Natural Resources Limited,Energy,2024,41509000000.0,6106000000.0,10898000000.0,-5383000000.0,13386000000.0,0.1471006287793008,0.1296827194102484,,,,,621065.3,3.100577402131988,2.3854825
CNQ.TO,Canadian Natural Resources Limited,Energy,2025,44167000000.0,10820000000.0,9401000000.0,-6791000000.0,15106000000.0,0.2449792831752213,0.1537573301333575,,,,,,,
CP.TO,Canadian Pacific Kansas City Limited,Industrials,2022,8814000000.0,3517000000.0,3329000000.0,-1557000000.0,4142000000.0,0.399024279555253,0.1766507828454731,,,,,594557.3,3.0775165306879737,6.798089916666667
CP.TO,Canadian Pacific Kansas City Limited,Industrials,2023,12555000000.0,3927000000.0,4388000000.0,-2499000000.0,4137000000.0,0.3127837514934289,0.1990442054958184,,,,,602387.8,1.31703033500723,3.8944715
CP.TO,Canadian Pacific Kansas City Limited,Industrials,2024,14546000000.0,3718000000.0,5179000000.0,-2863000000.0,5269000000.0,0.2556029148906916,0.1968238691049085,,,,,621065.3,3.100577402131988,2.3854825
CP.TO,Canadian Pacific Kansas City Limited,Industrials,2025,15078000000.0,4141000000.0,5609000000.0,-3140000000.0,5309000000.0,0.2746385462262899,0.2082504310916567,,,,,,,
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,2022,17810600000.0,1044100000.0,6097900000.0,-735100000.0,466500000.0,0.0586223934061738,0.0412731744017607,,,,,594557.3,3.0775165306879737,6.798089916666667
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,2023,16656500000.0,213300000.0,5703600000.0,-668600000.0,1353700000.0,0.0128058115450424,0.0401404856962747,,,,,602387.8,1.31703033500723,3.8944715
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,2024,15516000000.0,887700000.0,5200800000.0,-628300000.0,2063800000.0,0.0572119102861562,0.0404936839391595,,,,,621065.3,3.100577402131988,2.3854825
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,2025,16315500000.0,526300000.0,5615300000.0,-663700000.0,952100000.0,0.0322576690876773,0.0406791088228984,,,,,,,
CVE.TO,Cenovus Energy Inc.,Energy,2022,71765000000.0,6450000000.0,17134000000.0,-3758000000.0,11403000000.0,0.0898766808332752,0.0523653591583641,0.1087,0.1353,0.0266,0.838,594557.3,3.0775165306879737,6.798089916666667
CVE.TO,Cenovus Energy Inc.,Energy,2023,55474000000.0,4109000000.0,12704000000.0,-4298000000.0,7388000000.0,0.0740707358402134,0.0774777373183833,,,,,602387.8,1.31703033500723,3.8944715
CVE.TO,Cenovus Energy Inc.,Energy,2024,57726000000.0,3142000000.0,12765000000.0,-5015000000.0,9235000000.0,0.05442954647819,0.0868759311228909,,,,,621065.3,3.100577402131988,2.3854825
CVE.TO,Cenovus Energy Inc.,Energy,2025,52751000000.0,3930000000.0,11816000000.0,-4907000000.0,8228000000.0,0.0745009573278231,0.0930219332334932,,,,,,,
CSU.TO,Constellation Software Inc.,Technology,2022,6622000000.0,512000000.0,2323000000.0,-41000000.0,1297000000.0,0.0773180308064029,0.0061914829356689,-0.0031,0.0824,0.0855,0.8321,594557.3,3.0775165306879737,6.798089916666667
CSU.TO,Constellation Software Inc.,Technology,2023,8405000000.0,565000000.0,2944000000.0,-42000000.0,1779000000.0,0.0672218917311124,0.0049970255800118,,,,,602387.8,1.31703033500723,3.8944715
CSU.TO,Constellation Software Inc.,Technology,2024,10066000000.0,731000000.0,3615000000.0,-67000000.0,2196000000.0,0.0726207033578382,0.0066560699384065,,,,,621065.3,3.100577402131988,2.3854825
CSU.TO,Constellation Software Inc.,Technology,2025,11623000000.0,512000000.0,4368000000.0,-68000000.0,2732000000.0,0.0440505893487051,0.0058504688978749,,,,,,,
DCBO.TO,Docebo Inc.,Technology,2022,142912000.0,7018000.0,114734000.0,-1081000.0,2288000.0,0.0491071428571428,0.0075640953873712,0.1009,0.1264,0.0254,0.8482,594557.3,3.0775165306879737,6.798089916666667
DCBO.TO,Docebo Inc.,Technology,2023,180839000.0,2840000.0,146341000.0,-635000.0,15964000.0,0.0157045769994304,0.0035114107023374,,,,,602387.8,1.31703033500723,3.8944715
DCBO.TO,Docebo Inc.,Technology,2024,216931000.0,26736000.0,175636000.0,-1245000.0,29249000.0,0.1232465622709525,0.0057391520806154,,,,,621065.3,3.100577402131988,2.3854825
DCBO.TO,Docebo Inc.,Technology,2025,242687000.0,37512000.0,194836000.0,-981000.0,28173000.0,0.1545694660200175,0.0040422437130954,,,,,,,
DOL.TO,Dollarama Inc.,Consumer Defensive,2023,5052741000.0,801863000.0,2198206000.0,-156827000.0,869043000.0,0.1586986152664464,0.0310380049165393,,,,,602387.8,1.31703033500723,3.8944715
DOL.TO,Dollarama Inc.,Consumer Defensive,2024,5867348000.0,1010460000.0,2613441000.0,-278764000.0,1530954000.0,0.1722174992858784,0.0475110731458232,,,,,621065.3,3.100577402131988,2.3854825
DOL.TO,Dollarama Inc.,Consumer Defensive,2025,6413145000.0,1168545000.0,2893746000.0,-243450000.0,1644139000.0,0.182210912118781,0.0379610939718344,,,,,,,
DOL.TO,Dollarama Inc.,Consumer Defensive,2026,7255754000.0,1309438000.0,3268665000.0,-279335000.0,1761156000.0,0.1804689078488603,0.0384984110541785,,,,,,,
EMP-A.TO,Empire Company Limited,Consumer Defensive,2022,30162400000.0,745800000.0,7659700000.0,-780300000.0,2107100000.0,0.0247261491128026,0.0258699572978277,,,,,594557.3,3.0775165306879737,6.798089916666667
EMP-A.TO,Empire Company Limited,Consumer Defensive,2023,30478100000.0,686000000.0,7792700000.0,-757700000.0,1605300000.0,0.0225079647353345,0.0248604735859518,0.0893,0.1358,0.0465,0.8177,602387.8,1.31703033500723,3.8944715
EMP-A.TO,Empire Company Limited,Consumer Defensive,2024,30733000000.0,726000000.0,8071000000.0,-799000000.0,2073000000.0,0.0236228158656818,0.0259981127777958,,,,,621065.3,3.100577402131988,2.3854825
EMP-A.TO,Empire Company Limited,Consumer Defensive,2025,31277000000.0,700000000.0,8382000000.0,-777000000.0,2127000000.0,0.0223806631070754,0.0248425360488537,,,,,,,
ENB.TO,Enbridge Inc.,Energy,2022,53309000000.0,3003000000.0,16403000000.0,-4821000000.0,11230000000.0,0.0563319514528503,0.0904350109737567,,,,,594557.3,3.0775165306879737,6.798089916666667
ENB.TO,Enbridge Inc.,Energy,2023,43649000000.0,6191000000.0,17670000000.0,-4876000000.0,14201000000.0,0.141836009988774,0.1117093175101376,,,,,602387.8,1.31703033500723,3.8944715
ENB.TO,Enbridge Inc.,Energy,2024,53473000000.0,5441000000.0,19266000000.0,-6930000000.0,12600000000.0,0.1017522862005124,0.12959811493651,,,,,621065.3,3.100577402131988,2.3854825
ENB.TO,Enbridge Inc.,Energy,2025,65194000000.0,7491000000.0,21497000000.0,-9165000000.0,12270000000.0,0.1149032119520201,0.140580421511182,,,,,,,
FM.TO,First Quantum Minerals Ltd.,Basic Materials,2022,7626000000.0,1034000000.0,2200000000.0,-1167000000.0,2332000000.0,0.1355887752425911,0.1530291109362706,,,,,594557.3,3.0775165306879737,6.798089916666667
FM.TO,First Quantum Minerals Ltd.,Basic Materials,2023,6456000000.0,-954000000.0,1292000000.0,-1300000000.0,1427000000.0,-0.1477695167286245,0.201363073110285,,,,,602387.8,1.31703033500723,3.8944715
FM.TO,First Quantum Minerals Ltd.,Basic Materials,2024,4802000000.0,2000000.0,1350000000.0,-1286000000.0,1651000000.0,0.0004164931278633,0.2678050812161599,,,,,621065.3,3.100577402131988,2.3854825
FM.TO,First Quantum Minerals Ltd.,Basic Materials,2025,5237000000.0,-28000000.0,1458000000.0,-1134000000.0,2082000000.0,-0.0053465724651518,0.2165361848386481,,,,,,,
