ticker,company,sector,employees,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue
EMP-A.TO,Empire Company Limited,Consumer Defensive,129000.0,2025,31277000000.0,700000000.0,8382000000.0,-777000000.0,2127000000.0,0.022380663107075486,0.02484253604885379
ENB.TO,Enbridge Inc.,Energy,14800.0,2022,53309000000.0,3003000000.0,16403000000.0,-4821000000.0,11230000000.0,0.05633195145285036,0.09043501097375678
ENB.TO,Enbridge Inc.,Energy,14800.0,2023,43649000000.0,6191000000.0,17670000000.0,-4876000000.0,14201000000.0,0.14183600998877408,0.11170931751013768
ENB.TO,Enbridge Inc.,Energy,14800.0,2024,53473000000.0,5441000000.0,19266000000.0,-6930000000.0,12600000000.0,0.10175228620051241,0.12959811493651002
ENB.TO,Enbridge Inc.,Energy,14800.0,2025,65194000000.0,7491000000.0,21497000000.0,-9165000000.0,12270000000.0,0.11490321195202012,0.14058042151118202
FM.TO,First Quantum Minerals Ltd.,Basic Materials,15661.0,2022,7626000000.0,1034000000.0,2200000000.0,-1167000000.0,2332000000.0,0.13558877524259114,0.15302911093627064
FM.TO,First Quantum Minerals Ltd.,Basic Materials,15661.0,2023,6456000000.0,-954000000.0,1292000000.0,-1300000000.0,1427000000.0,-0.14776951672862454,0.201363073110285
FM.TO,First Quantum Minerals Ltd.,Basic Materials,15661.0,2024,4802000000.0,2000000.0,1350000000.0,-1286000000.0,1651000000.0,0.00041649312786339027,0.2678050812161599
FM.TO,First Quantum Minerals Ltd.,Basic Materials,15661.0,2025,5237000000.0,-28000000.0,1458000000.0,-1134000000.0,2082000000.0,-0.005346572465151804,0.2165361848386481
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,80000.0,2022,3240482000.0,541540000.0,992412000.0,-244554000.0,413488000.0,0.1671171140589579,0.07546840254011594
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,80000.0,2023,3195911000.0,533580000.0,880054000.0,-208009000.0,546606000.0,0.1669570898563821,0.06508598017904754
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,80000.0,2024,3270590000.0,400865000.0,1003679000.0,-150352000.0,501388000.0,0.12256657055760581,0.04597091044735048
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,80000.0,2025,3619236000.0,398879000.0,1129867000.0,-113807000.0,606315000.0,0.11021082902579439,0.03144503425584847
GWO.TO,Great-West Lifeco Inc.,Financial Services,33430.0,2022,-2693000000.0,3726000000.0,,,3772000000.0,-1.383587077608615,
GWO.TO,Great-West Lifeco Inc.,Financial Services,33430.0,2023,36731000000.0,2868000000.0,,,5203000000.0,0.07808118483025238,
GWO.TO,Great-West Lifeco Inc.,Financial Services,33430.0,2024,34723000000.0,4070000000.0,,,4751000000.0,0.11721337442041298,
GWO.TO,Great-West Lifeco Inc.,Financial Services,33430.0,2025,39104000000.0,4120000000.0,,,2708000000.0,0.10536006546644845,
IFC.TO,Intact Financial Corporation,Financial Services,32000.0,2022,22539000000.0,2454000000.0,,-411000000.0,3665000000.0,0.10887794489551444,0.018235059230666845
IFC.TO,Intact Financial Corporation,Financial Services,32000.0,2023,23290000000.0,1316000000.0,,-458000000.0,1846000000.0,0.05650493774151997,0.019665092314297982
IFC.TO,Intact Financial Corporation,Financial Services,32000.0,2024,24984000000.0,2297000000.0,,-429000000.0,3387000000.0,0.09193884085814921,0.017170989433237274
IFC.TO,Intact Financial Corporation,Financial Services,32000.0,2025,26073000000.0,3365000000.0,,-457000000.0,4388000000.0,0.12906071414873624,0.01752771065853565
IMO.TO,Imperial Oil Limited,Energy,5000.0,2022,57234000000.0,7340000000.0,10191000000.0,-1526000000.0,10482000000.0,0.12824544850962716,0.026662473354998776
